link,name,bio,degree/0,certifications/0,certifications/1,academic_position/0,publication/0,grand/0,degree/1,degree/2,academic_position/1,publication/1,publication/2,publication/3,publication/4,publication/5,publication/6,publication/7,publication/8,publication/9,publication/10,publication/11,publication/12,publication/13,publication/14,publication/15,publication/16,publication/17,publication/18,publication/19,publication/20,publication/21,publication/22,publication/23,publication/24,grand/1,grand/2,grand/3,grand/4,grand/5,grand/6,grand/7,grand/8,grand/9,grand/10,grand/11,grand/12,grand/13,grand/14,grand/15,grand/16,grand/17,grand/18,grand/19,grand/20,grand/21,grand/22,grand/23,grand/24,certifications/2,certifications/3,academic_position/2,academic_position/3,academic_position/4,degree/3,degree/4,degree/5,degree/6,degree/7,degree/8
https://profiles.uts.edu.au/Alireza.Ahadi,None,None,None,None,,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Igor.Aharonovich,Igor Aharonovich,"Igor Aharonovich is an award-winning scientist working on cutting-edge research into quantum sources that are able to generate, encode and distribute quantum information.

A Professor in the School of Mathematical and Physical Sciences at UTS, Igor investigates optically active defects in solids, with the aim of identifying a new generation of ultra-bright solid state quantum emitters. 

His contributions to the field include the discovery of new colour centers in diamond and hexagonal boron nitride, and the development of new methodologies to engineer nanophotonic devices from these materials.

He is a chief investigator at the ARC Centre of Excellence for Transformative Meta-Optical Materials (TMOS), and leads an international collaboration investigating the chemical structure of crystal imperfections, or defects, in the nanomaterial hexagonal boron nitride (hBN).
In 2013, he established the nanophotonics research group at UTS, was promoted to Associate Professor in 2015, and to a full Professor in 2018. 
His research group explores new quantum emitters in wide bandgap materials, with the aim of fabricating quantum nanophotonic devices on a single chip for the next generation of quantum computing, cryptography and bio-sensing. 

In 2016, Igor and his team discovered the first quantum emitters in 2D materials that operate at room temperature based on defects in hBN. 
He has co-authored more than 200 peer-reviewed publications, including one of the most cited reviews on diamond photonics. He has also written a road map for solid state single-photon sources.

In 2019, Igor co-founded the inaugural online photonics conference, Photonics Online Meetup, which attracted more than 1100 attendees from around the world, and which was highlighted by top science outlets. The conference now runs twice a year.

Igor received his B.Sc. (2005) and M.Sc. (2007) in Materials Engineering from the Technion – Israel Institute of Technology, under the supervision of Prof Yeshayahu Lifshitz. 

He then undertook his PhD studies at the University of Melbourne under the supervision of Prof Steven Prawer, where he developed experimental techniques to engineer novel, ultra bright single photon emitters in diamond. 

Igor has received several international awards including the Pawsey Medal (2017), the IEEE Photonics Young Investigator Award (2016). In 2021, he became a Fellow of the Optical Society (OSA), the prime global society in optics and photonics, and recipient of the 2020 Kavli Foundation Early Career Lectureship in Materials Science from Materials Research Society.",None,None,,None,Quantum sensing and imaging with spin defects in hexagonal boron nitride,Quantum Nanophotonics with Atomically Thin Materials,,,,Layered materials as a platform for quantum technologies.,Quantum Key Distribution Using a Quantum Emitter in Hexagonal Boron Nitride,Dual-Band Coupling of Phonon and Surface Plasmon Polaritons with Vibrational and Electronic Excitations in Molecules.,Advances in Physics of Semiconductors,Stark Effect of Blue Quantum Emitters in Hexagonal Boron Nitride,Hexagonal boron nitride: a source for quantum photonics applications,Time-dependent Mandel Q parameter analysis for a hexagonal boron nitride single photon source.,Photophysics of blue quantum emitters in hexagonal boron nitride,Real-Time Ratiometric Optical Nanoscale Thermometry.,Quantum microscopy with van der Waals heterostructures,Towards the realization of single photon sources for radiometry applications at room temperature,Ultralow-Power Cryogenic Thermometry Based on Optical-Transition Broadening of a Two-Level System in Diamond,Quantum Emitters in Hexagonal Boron Nitride.,Coherence Properties of Electron-Beam-Activated Emitters in Hexagonal Boron Nitride under Resonant Excitation,Lanthanide Ion Resonance-Driven Rayleigh Scattering of Nanoparticles for Dual-Modality Interferometric Scattering Microscopy.,Coupling spin defects in hexagonal boron nitride to titanium dioxide ring resonators.,Room-temperature strong coupling of a single-photon emitter and a bound-state-in-the-continuum cavity (Conference Presentation),Quantum Interference of Resonance Fluorescence from Germanium-Vacancy Color Centers in Diamond.,Author Correction: Electrical control of quantum emitters in a Van der Waals heterostructure.,Electrical control of quantum emitters in a Van der Waals heterostructure.,Site-Specific Fabrication of Blue Quantum Emitters in Hexagonal Boron Nitride,Excited-State Optically Detected Magnetic Resonance of Spin Defects in Hexagonal Boron Nitride.,Integrated room temperature single-photon source for quantum key distribution: publisher's note.,Monolithic Silicon Carbide Metalenses,Coherent Quantum Emitters in Hexagonal Boron Nitride,Quantum memory with two dimensional materials,National Facility for Infrared Technologies,ARC Centre of Excellence for Transformative Meta-Optical Systems (TMOS),Super-resolution imaging techniques based on van der Waals materials,Next generation nanophotonics: Light engineering in two-dimensional materials,National Facility for Nanoscale Characterisation of Luminescent Materials.,"Next generation material imaging, spectrometry and fabrication techniques",Optical Wavelength Conversion in Nonlinear Dielectric Nano-Resonators,hBN Workshop at the 3rd International Conference on Physics of 2D Crystals (ICP2C3),CSP - The 3rd International Conference on Physics of 2D Crystals (ICP2C3),High-throughput Portable and Wearable Device Fabrication Facilty,ARC Research Hub for Integrated Device for End-user Analysis at Low-levels,Diamond Nanosensors and Optical Tweezers for Bio-Nanotechnologies,"UltraTEM: To resolve the structure of matter in space, energy and time (via Monash)",Novel single photon sources for new generation of quantum communications,An advanced transmission electron microscope facility for nanoscience,"The Japan Society of Applied Physics and the Materials Research Society Joint Symposia, Kyoto, Japan, 16-20 September 2013",Travel Grant - Fabrication of energy efficient diamond light emitting diodes,Fabrication Strategies for Nanophotonic Devices,Fluorescent Nanodiamonds for Biological Sensing,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Alireza.Fini,Alireza Ahmadian Fard Fini,"PhD
UNSW, Australia
MEng
UCalgary, Canada
MSc
IUST, Iran
BSc
ShirazU, Iran",PhD,None,,None,A deep learning-based approach to facilitate the as-built state recognition of indoor construction works,5D BIM Research Project,MEng,MSc,,Effects of planning regulations on housing and land markets: A system dynamics modeling approach,Applications of electroencephalography in construction,Using existing site surveillance cameras to automatically measure the installation speed in prefabricated timber construction,Mass-customisation of cross-laminated timber wall systems at early design stages,Computer vision-based interior construction progress monitoring: A literature review and future research directions,Sonochemical Preparation of Magnesium Hydroxide and Aluminum Hydroxide Nanoparticles for Flame Retardancy and Thermal Stability of Cellulose Acetate and Wood,Barriers to reusing and recycling office fit-out: An exploratory analysis of demolition processes and product features,An Integrated Product Planning and Design Platform in the Context of Housebuilding Industry,Optimization of flexible lift processes on high-rise building construction sites,Optimization of job allocation in construction organizations to maximize workers' career development opportunities,Mass Timber Productivity- the Significance of Reduction in Non-Value Add Activities during On-Site Installation Sequence,The Value Proposition of RFIDTechnology in Tall Prefabricated Timber Buildings,Productivity in Multi-storey Mass Timber Construction,Sustainable Procurement and Transport of Construction Materials,RFID Technology in Prefabricated Timber Construction - User Guide,Quantifying demolition fitout waste from Australian office buildings,A Mathematical Job Allocation Model to Maximize Career Development Opportunities for Construction Workers,Enhancing the safety of construction crew by accounting for brain resource requirements of activities in job assignment,Dynamic Programming Approach toward Optimization of Workforce Planning Decisions,Trialling the Value of RFID Technology in Prefabricated Timber Construction,BIM-enabled sustainability assessment of material supply decisions,Job Assignment Based on Brain Demands and Human Resource Strategies,Factors Influencing BIM Adoption in Small and Medium Sized Construction Organizations,Incorporating Multiskilling and Learning in the Optimization of Crew Composition,Industrialization of Nail-Laminated Timber and Dowel-Laminated Timber Panels for Building Construction- Phase 2,A decentralised peer-to-peer last mile delivery smartphone app,A Big Data Analytics Approach To Improve Construction Claim Preparation Process on Construction Disputes,Productivity in Mass Multi-storey Timber Construction,Trialling the Value of RFID Tracking Systems in Prefabricated Timber Construction,,,,,,,,,,,,,,,,,,,,,,,,,BSc,,,,,
https://profiles.uts.edu.au/Foez.Ahmed,Foez Ahmed,"Foez Ahmed received the B.Sc. (Hons.) and M.Sc. degrees in Information and Communication Engineering from the University of Rajshahi (RU), Rajshahi, Bangladesh, in 2007 and 2009, respectively, and the M.Eng. degree in Electrical and Computer Engineering from the South China University of Technology (SCUT), Guangzhou, China, in 2013. He is currently a research fellow with the School of Electrical and Data Engineering, University of Technology Sydney (UTS), Sydney, NSW, Australia. From 2012 to 2014, he was a lecturer with the Department of Information and Communication Engineering, RU, where he has been an assistant professor since 2014 (now on study leave). He was also a lecturer at the Northern University of Bangladesh, Dhaka, Bangladesh, from 2008 to 2011, and King Khalid University, Abha, Saudi Arabia, from 2009 to 2011.

Mr. Ahmed was a recipient of several prestigious scholarships and awards, including the Commonwealth-funded International Research Training Program (iRTP) Scholarship, the International Research Scholarship (IRS), the Faculty of Engineering and Information Technology (FEIT) Scholarship, the Chinese Government Scholarship, the Gold Medal from the University of Rajshahi, Bangladesh, the District Council Scholarship, the Excellence Award, the Academic Achievement Award, the Excellence Award for the Best Thesis Defence in the Master of Engineering studies; the First Place Award in the Research Showcase – a school-wide HDR research competition organised by the School of Electrical and Data Engineering, University of Technology Sydney, Australia; the First Prize Winner for the Bushfire Grand Challenge Masterclass from CSIRO Australia’s National Science Agency, and the Finalist for the Oral paper presentation competitions at IEEE 5th Australian Microwave Symposium, Australia, IEEE International Symposium on Antennas & Propagation, Australia, and Faculty of Engineering and IT Research Competition, UTS. On top of that, he also received faculty-wide highly competitive research grants and travel funds, including the Vice-Chancellor’s Conference Fund, the Faculty Conference Fund, the Post Thesis Scholarship, the School Travel Fund, from UTS and the Postgraduate Research Fund from Macquarie University, Sydney, Australia.",None,None,,None,Low-Cost All-Metal Resonant-Cavity Antenna for High Power Applications,None,,,,3D printable lightweight porous superstrate for improved radiation performance of antenna,Cross-Entropy Method for Combinatorial Mixed-Parameter Optimization of Waveguide Polarizers for Ku-Band,Metasurface-Driven Beam Steering Antenna for Satellite Communications,A Dual Band Resonant-Cavity Antenna for Satellite Communication,A Modified Approach to Optimize Phase-Gradient Metasurface-Based Beam-Steering Systems,All-Dielectric Phase Correcting Surface Using Fused Deposition Modeling Technique,Ku-band Metallic Metasurfaces for High-Power Microwave Applications,3-D Printable Synthetic Metasurface to Realize 2-D Beam-Steering Antenna,Near-Field Metallic Metasurfaces for Enhancing Antenna Capabilities,Novel Dual-Band Metascreen for Dual-Band Near-Field Phase Correction,State-of-the-Art Passive Beam-Steering Antenna Technologies: Challenges and Capabilities,"Electromagnetic Metasurfaces: Insight into Evolution, Design and Applications",A Near-Field Meta-Steering Antenna System With Fully Metallic Metasurfaces,Near-Field Phase Transforming Structures for High-Performance Antenna Systems,Design and Performance Comparison of Compact Resonant Cavity Antennas Using Customized 3D Printing Techniques,Highly Transparent Fully Metallic 1-Bit Coding Metasurfaces for Near-Field Transformation,Applications of Near-Field Meta-Steering Antenna Systems,Rapid Prototyping of Ultrawideband Compact Resonant Cavity Antennas Using 3D Printing,A Metal-Only Partially Reflective Surface for Metallic Resonant-Cavity Antennas,Self-Sustained Rigid Fully Metallic Metasurfaces to Enhance Gain of Shortened Horn Antennas,Low-Cost All-Metal Bandpass Frequency Selective Surface,A dielectric free near field phase transforming structure for wideband gain enhancement of antennas,Dielectric-Free Cells for Low-Cost Near-Field Phase Shifting Metasurfaces,The Use of a Pair of 3D-Printed near Field Superstructures to Steer an Antenna Beam in Elevation and Azimuth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Sumati.Ahuja,Sumati Ahuja,"Dr. Sumati Ahuja is the program director of the Digital Creative Enterprise major at the UTS Business School. Sumati is an academic with an impressive background of working in industry for over 25 years and teaching in both undergraduate and postgraduate programs for over 10 years. Her experience as an architect, educator and researcher condenses a unique trans-disciplinary orientation across the fields of Design, Innovation and Management. Sumati applies her considerable knowledge of creative thinking and creative practices in the design and delivery of her undergraduate and executive education courses at the UTS Business School.

Sumati's trans-disciplinarity underpins her research interests. Her research examines the changing world of work; how technology is changing the work of human experts and the impact of these changes on workers' and their emotional well being. She uses design perspectives to explore the value of design to business and social enterprise and how design-led innovation can be leveraged across a wide range of private and public sector organisations. Her work appears in leading international, peer reviewed journals and has been internationally recognised. Her research continues to influence practitioner communities through engagements with industry partners that have led to beneficial outcomes for partner organisations through improved strategies and practices that drive both business and societal change. 

Sumati's PhD focused on the changing nature of professional work and explored the implications for the future of expert work. She is Winner of the UTS Business School Research Award (2022) for Early career researchers (ECRs), finalist in the prestigious international Grigor McClelland Doctoral Dissertation Award (2019) for most innovative PhD research in management and organization studies and winner, Best Paper Award for Journal of Professions and Organizations (2017) . Sumati was nominated for the UTS Medal of Excellence in Teaching and Research (2020).",PhD,None,,Course Convenor MArch: Architectural Professional Practice,Professional Identity Threats in Interprofessional Collaborations: A Case of Architects in Professional Service Firms,None,Bachelor of Architecture,,,This boys club world is finally getting to me’: Developing our glass consciousness to understand women’s experiences in elite architecture firms,In Praise of Boredom at Work,Design Thinking Implementation for Innovation: An Organization's Journey to Ambidexterity,Learning as Moments of Friction and Opportunity: An Autoethnography of ECR Identities in Queer Time,Stuck in Defensive Professionalism: Undermining Organizational Change in an Intellectual Property Law Firm,"Identities, Digital Nomads and Liquid Modernity",Professional identity and anxiety in architect-client interactions,Emotions and identity work: Emotions as discursive resources in the constitution of junior professionals’ identities,Paradoxical Identity: The changing nature of architectural work and its relation to architects' identity,Collectively creating conditions that nurture: The Bushland as metaphor for the academic ecosystem.,Technology and Identity in healthcare: Clinicians experiences of the implementation of a new technology in intensive care units.,‘I wear red lipstick to stand out from the sea of black’: Fashioned space and fashioning space by women in Architecture firms,‘The only place to get peace and quiet around here is in the women’s toilet!’: Women as agents in the (re)creation of gendered space in elite architecture firms,Reinserting professional work(ers) into organizations,"Professional work(ers) past, present and Future/s. European Group for Organization studies, Cagliari 2023",Adapting Frame Creation to Address Complex Social Problems,Identities and Technology: AI and the Disruption of Patent Attorneys' Practices and Identities,Learn or Die: An Autoethnography of ECR Identities in Queer Time,‘Feelings’ as identity work: A case of AI and Patent Attorneys in Australia,Oh What a Feeling! AI and Identity Challenges of Patent Attorneys in Australia,‘This boys club world is finally getting to me’: Gendered professional identity in elite architecture firms.,Re-imagining professional identity,Identities in Liquid Modernity,Expertise and professional identity in client-professional interactions: A case of architectural firms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Antonette.Shibani,Shibani Aileen Shibani Michael Xavier,"Shibani has a background in computer science engineering and teaches into the Master of Data Science and Innovation course at TD school (TransDiscilinary Innovation) in UTS. She researches applied areas of data science and artificial intelligence, with a particular focus on educational technology and writing analytics. Her work spans across learning analytics, automated feedback tools, ethical use of artificial intelligence (AI), human-AI complementarity, navigating misinformation and conflict in social media, and more broadly, data for social impact. Much of her research uses text analysis and natural language processing to uncover insights from data along with other qualitative and quantitative methods.  

Shibani has a strong research profile and has served as a program committee member and reviewer for a number of conferences and peer-reviewed journals. She is an executive member of Society for Learning Analytics Research (SoLAR) and co-hosts the podcast ‘SoLAR Spotlight: Conversations on Learning Analytics’. She has a wide authorship network with international collaborators across the globe, with recognition and awards for leadership among early-career female academics in computing. Her detailed profile is published at https://antonetteshibani.com/",PhD in Learning Analytics,Machine Learning Course Certification (Online) 2016,"Data, Analytics, and Learning Course (Online) 2014",Executive Committee Member,A reflective design case of practical micro-ethics in learning analytics,Towards increased adoption of modular school buildings for flexible learning needs of the future - ECR Sprint,Master of Science in Information Studies,Bachelor in Computer Science Engineering,Founding member and Lead,Questioning learning analytics? Cultivating critical engagement as student automated feedback literacy,Educator perspectives on learning analytics in classroom practice,Implementing learning analytics for learning impact: Taking tools to task,AcaWriter A learning analytics tool for formative feedback on academic writing,Contextualizable learning analytics design: A generic model and writing analytics evaluations,Design and Implementation of a Pedagogic Intervention Using Writing Analytics,Assessing the language of chat for teamwork dialogue,A Pedagogical framework for learning analytics in collaborative inquiry tasks: An Example from a teamwork competency awareness program,Explainable models for feedback design: An argumentative writing example,Visual representation of co-authorship with GPT-3: Studying human-machine interaction for effective writing,Framing Generative AI as EdTech,Forty years of digital writing: What has changed – where do we stand – what comes next? - Automated writing analysis: Opportunities and implications,Understanding the role of Emojis for emotion detection in Tamil,A Transdisciplinary Lens on the Ethical Use of Artificial Intelligence,Natural Language Processing: Writing Analytics,Writing for Publication: Engaging Your Audience,DLRG@DravidianLangTech-ACL2022: Abusive Comment Detection in Tamil using Multilingual Transformer Models,Designing Effective Work-Integrated Learning for Data Science Students: Considerations and Lessons Learned,Moodoo the Tracker: Spatial Classroom Analytics for Characterising Teachers’ Pedagogical Approaches,Writing Analytics for Higher-order Thinking Skills,The Moodoo Library: Quantitative Metrics to Model How Teachers Make Use of the Classroom Space by Analysing Indoor Positioning Traces (Extended Abstract),Detection Offensive Tamil Texts using Machine Learning and Multilingual Transformers Models,Podcast: Learning Analytics Practitioners and Practice,Are You Being Rhetorical? A Description of Rhetorical Move Annotation Tools and Open Corpus of Sample Machine-Annotated Rhetorical Moves,CiteLearn - an academic tool for learning to cite sources,,,,,,,,,,,,,,,,,,,,,,,,Python Programming Course (Online) 2015,,Research Associate,Chair of Special Interest Groups,,,,,,,
https://profiles.uts.edu.au/Adam.Ainsworth,Adam Ainsworth,None,None,None,,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Helen.Aitken,Helen Aitken,None,None,None,,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Penelope.Ajani,Penelope Ajani,"I have been actively engaged in the development, conduct and communication of biological science, especially in the area of marine phytoplankton for the past twenty years.  I have worked in academia, government and also as a private consultant.  I obtained my PhD from Macquarie University in 2014 and was awarded a UTS Chancellors Post Doctorate Fellowship the same year.

My research has included the effects of ocean outfalls on water quality and marine biota, phytoplankton dynamics, and the ecology and specialist identification of harmful algal blooms. My Fellowship at UTS within the Seafood Safety Program, School of Life Sciences, will engage novel genetic tools to investigate the evolution, ecology and toxicity of harmful algae especially in relation to oyster farming. I am also interested in how ecologically significant, and potentially toxic, diatom species respond to ocean warming. This research will provide critical insights into stress response, gene function and the adaptive capability of organisms to changing ocean conditions.",None,None,,None,Anthropogenic and oceanic nutrients in NSW's dynamic coastal waters and their effect on phytoplankton populations,"Using eDNA to assess how estuarine fish communities respond to consecutive extreme events of drought, bushfire, and flood.",,,,Abiotic and biotic factors controlling sexual reproduction in populations of Pseudo-nitzschia pungens (Bacillariophyceae).,"Transforming Australian Shellfish Production: Quibray Bay Harvest Area, Georges River. Report on Stage 1, October 2017-March 2021","Transforming Australian Shellfish Production. Pambula Lake Harvest Area, Pambula River. Report on Satge 1, Sept 2016-March 2021.","Transforming Australian Shellfish Production: Goodnight Island Harvest Area, Shoalhaven and Crookhaven Rivers. Report on Stage 1, December 2017-March 2021","Transforming Australian Shellfish Production: Long Island Harvest Area, Wallis Lake. Report on Stage 1, December 2017-March 2021.",Mapping the development of a Dinophysis bloom in a shellfish aquaculture area using a novel molecular qPCR assay.,"Transforming Australian Shellfish Production: Lower Honeymoon Bay Harvest Area, Wagonga Inlet. Report on Stage 1, December 2017-March 2021.","Transforming Australian Shellfish Production: Pelican Point Harvest Area - Manning River. Report on Stage 1, December 2017-March 2021.","Diatom Biogeography, Temporal Dynamics, and Links to Bacterioplankton across Seven Oceanographic Time-Series Sites Spanning the Australian Continent.",Phenotypic trait variability as an indication of adaptive capacity in a cosmopolitan marine diatom.,Risk from Diarrhetic Shellfish Toxins and Dinophysis to the Australian Shellfish Industry.,"A Comparative Analysis of Methods (LC-MS/MS, LC-MS and Rapid Test Kits) for the Determination of Diarrhetic Shellfish Toxins in Oysters, Mussels and Pipis",Using qPCR and high-resolution sensor data to model a multi-species Pseudo-nitzschia (Bacillariophyceae) bloom in southeastern Australia.,TRENDS WITH BENEFITS? PHYTOPLANKTON DYNAMICS UNDER CLIMATE CHANGE AT A LONG TERM PACIFIC OCEAN STATION,"Modelling harmful algal blooms in eastern Australian estuaries using quantitative PCR and molecular barcoding, Abstract at the International Phycological Congress",Effect of a Once in 100-Year Flood on a Subtropical Coastal Phytoplankton Community,Using molecular ecological techniques to detect harmful algal bloom (HAB) species impacting aquaculture. Talk at the Australian Society for Phycology and Aquatic Botany Conference,Global Warming Impacts Micro-Phytoplankton at a Long-Term Pacific Ocean Coastal Station,First report of the potentially toxic marine diatom Pseudo-nitzschia simulans (Bacillariophyceae) from the East Australian Current,Sexual reproduction and genetic polymorphism within the cosmopolitan marine diatom Pseudo-nitzschia pungens.,"First Detection of Paralytic Shellfish Toxins from Alexandrium pacificum above the Regulatory Limit in Blue Mussels (Mytilus galloprovincialis) in New South Wales, Australia.","Fifteen years of Pseudo-nitzschia in an Australian estuary, including the first potentially toxic P. delicatissima bloom in the southern hemisphere",The influence of dissolved organic carbon on the microbial community associated with tetraselmis striata for bio-diesel production,Time series of harmful algal blooms in New South Wales,Understanding water quality risk for the sustainable and efficient production of Pacific and Sydney rock oysters,Optical remote sensing in the water column,Australian Shellfish Industry Transformation Project,Risk from Diarrhetic Shellfish Toxins and Dinophysis to the Australian shellfish industry,Risk from Diarrhetic Shellfish Toxins and Dinophysis to the Australian Shellfish Industry,Pelagic symbioses: Teasing apart phytoplankton-bacteria relationships,Scientific review of Toxic Algal Species towards Improving Management of Toxic Blooms in NSW,Diatom innovations: ecological success in a warming ocean.,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Akanksha.Akanksha,Akanksha Akanksha,None,Master of Public Health,None,,Sessional Academic,EE545 Mapping Between Health and Broader Quality of Life Instruments: A Scoping Review,None,Bachelor of Dental Surgery,PhD- Health Economics,Research Assistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://profiles.uts.edu.au/Graham.Akhurst,Graham Akhurst,"Graham Akhurst is an Aboriginal writer and academic hailing from the Kokomini of Northern Queensland. His research sits in the discipline of Creative Writing, Australian Literature, and Australian Publishing Studies. Graham is currently a Lecturer of Indigenous Australian Studies and Creative Writing in the Faculty of Arts and Social Sciences. His debut novel Borderland will be published 2023 by The University of Western Australia Press. His research has been published as a book chapter in Indigenous Postgraduate Education: Intercultural Perspectives, and has articles in The Australian Journal of Indigenous Education, and Artlines. He is a contributing editor at Kweli Journal, New York City. He is a board member of the First Nations Artist and Writers Network and Varuna. He has published creatively in Kweli and J Journal for fiction, Mascara Literary Review and Westerly for creative non-fiction, and the Australian Book Review, Cordite, VerityLa, Off the Coast (Maine America), Red Ink (Arizona State University Press), Australian Poetry Journal, Artlines, Meanjin, and Island Magazine for poetry. His short story ‘Staffy’ was nominated for the 2022 PEN Dau Award, Best American Short Stories, O. Henry Prize, and Pushcart Prize. He was the poet of the week for the Australian Book Review in early April 2016. Graham has been a featured reader at the Queensland Poetry Festival, Clancestry, Woodford Folk Festival, UQ Art Museum, Queensland Art Gallery, Ruckus Slam, Dark Mofo, and the American Australian Association Arts Gala (2019). He was a participant of the Australia Council for the Arts Future Leaders Program in 2018. Graham was a participant on the Aurora International Study Tour in 2015. He was valedictorian of his graduating year at The University of Queensland (2014) and completed his writing honours with a first-class result at UQ (2015). He has an MPhil in Creative Writing from UQ funded by an APA scholarship (2019). Graham has previously been a faculty member at The University of Queensland, teaching Indigenous Studies. He was named the first Indigenous recipient of the Fulbright W.G Walker Award as the highest-ranked postgraduate Australian applicant. The Fulbright Award funded his studies at Hunter College, CUNY, where he was awarded an MFA in Fiction (2021). He also received the Nomad Two Worlds Foundation Indigenous Arts Scholarship from the American Australian Association and a second Australia Council of the Arts Grant for Professional Development. He is also the recipient of a Roberta Sykes Scholarship, the Ian Potter Cultural Foundation Scholarship, and a Creative Writing Scholarship from Hunter College.","MFA Creative Writing (Fiction). Thesis: “Blood and Country""",None,,None,This Country,None,"MPhil Creative Writing, Thesis: “Borderland: The Indigenous Experience of Australian Literary Institutions,”","BA Honours 1A Creative Writing, Thesis: ""Aboriginal Dreaming and Masculine Identity in Fiction""",,Staffy,Critical creative pedagogies: a decolonial and indigenous approach using visual arts and creative writing,Bird's Nest,True History of the Ned Kelly Gang,Standing on the Shoulders of My Ancestors,Articulating my own black history: Success factors in a pathway from undergraduate to postgraduate study,Sunlight / Dear Mum,Haunted,The Space Between: Ekphrasis and the Re-Imagining of The Australian Collection,Clutching the Void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCA Creative Writing Extended Major,,,,,
https://profiles.uts.edu.au/Nawshad.Akther,Nawshad Akther,"Dr Nawshad Akther is currently a Postdoctoral Research Associate at the School of Civil and Environmental Engineering, University of Technology Sydney (UTS). Dr Akther received her PhD in Environmental Engineering from UTS and completed her Bachelor’s and Master’s degrees in Chemical Engineering from the American University of Sharjah and Khalifa University, respectively. Her research focuses on the development of materials and advanced membranes for various applications, including desalination, resource recovery and water treatment. She is known for her work on the synthesis of nanocomposite membranes modified with graphene oxide and derivatives for forward osmosis. She has published more than 20 journal articles in highly ranked international peer-reviewed journals. She won over 10 awards over the past 2 years for her research, including the Membrane Society of Australasia (MSA) Best Student Award (2021), MSA Best Short Talk Award (2020),  UTS 3MT (2020), UTS Research Excellence Commendation Award (2019) and UTS Collaboration Experience Award in (2019).",PhD,None,,None,Selective rubidium recovery from seawater with metal-organic framework incorporated potassium cobalt hexacyanoferrate nanomaterial,None,MSc. in Chemical Engineering,BSc. in Chemical Engineering,,Development of highly permeable self-standing nanocomposite sulfonated poly ether ketone membrane using covalent organic frameworks,Recent Development of Atmospheric Water Harvesting Materials: A Review.,Effect of graphene oxide quantum dots on the interfacial polymerization of a thin-film nanocomposite forward osmosis membrane: An experimental and molecular dynamics study,Employing the synergistic effect between aquaporin nanostructures and graphene oxide for enhanced separation performance of thin-film nanocomposite forward osmosis membranes,In situ ultrathin silica layer formation on polyamide thin-film composite membrane surface for enhanced forward osmosis performances,Influence of silica nanoparticles on the desalination performance of forward osmosis polybenzimidazole membranes,Surface modification of thin-film composite forward osmosis membranes with polyvinyl alcohol–graphene oxide composite hydrogels for antifouling properties,Engineering Heterostructured Thin-Film Nanocomposite Membrane with Functionalized Graphene Oxide Quantum Dots (GOQD) for Highly Efficient Reverse Osmosis.,Size-controlled graphene oxide for highly permeable and fouling-resistant outer-selective hollow fiber thin-film composite membranes for forward osmosis,Covalent organic framework incorporated outer-selective hollow fiber thin-film nanocomposite membranes for osmotically driven desalination,Influence of graphene oxide lateral size on the properties and performances of forward osmosis membrane,Defect-free outer-selective hollow fiber thin-film composite membranes for forward osmosis applications,Improving membrane distillation performance: Morphology optimization of hollow fiber membranes with selected non-solvent in dope solution.,Recent advances in nanomaterial-modified polyamide thin-film composite membranes for forward osmosis processes,The effect of Schiff base network on the separation performance of thin film nanocomposite forward osmosis membranes,Efficient fouling control using outer-selective hollow fiber thin-film composite membranes for osmotic membrane bioreactor applications.,Synthesis of polybenzimidazole (PBI) forward osmosis (FO) membrane and computational fluid dynamics (CFD) modeling of concentration gradient across membrane surface,"Effect of flow rate, draw solution concentration and temperature on the performance of TFC FO membrane, and the potential use of ro reject brine as a draw solution in FO–RO hybrid systems",Recent advances in humidification dehumidification (HDH) desalination processes: Improved designs and productivity,A critical review on recent polymeric and nano-enhanced membranes for reverse osmosis,Recent advancements in forward osmosis desalination: A review,Technical Evaluation of Ionic Liquid-Extractive Processing of Ultra Low Sulfur Diesel Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
