GO ID:,Agency:,Close Date & Time:,Primary Category:,Publish Date:,Location:,Selection Process:,Description:,Eligibility:,Grant Activity Timeframe:,Total Amount Available (AUD):,Instructions for Application Submission:,Other Instructions:,Internal Reference ID:,FO Reference:,Addenda Available:,Estimated Grant Value (AUD):,Secondary Category:,Co-sponsored with:
GO6300,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts","15-Jul-2023 11:30 pm (ACT Local Time)
Show close time for other time zones",121002 - Cultural Heritage,15-Jun-2023,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Open Competitive,"The Australian Government International Exhibitions Insurance (AGIEI) program is a funding program designed to offset insurance costs for touring major exhibitions of cultural material. Generally, these exhibitions include works from international collections.
The program aims to assist cultural institutions to provide access to significant cultural material the Australian public would not otherwise have an opportunity to access. By providing assistance with insurance costs, the Australian Government is able to encourage and support the staging of major exhibitions drawn from some of the world’s most historically significant and culturally rich collections. ","Organisations eligible to apply for funding include Commonwealth, state and territory government collecting institutions; incorporated not-for-profit public collecting institutions, and incorporated not-for-profit bodies specialising in touring significant art and cultural collections. The proposal may be for either multiple or single venue exhibitions.
To be eligible:
The cultural material in the exhibition must have a minimum value of:
AUD $25 million for fine art exhibitions
AUD $10 million for museological exhibitions.
Insurance cover may apply to multiple or single items within an exhibition that meets the minimum value threshold.
The exhibition must not be eligible for support through a state indemnity scheme.
Applications from organisations with outstanding reports or financial acquittals from the AGIEI program, or from organisations that are otherwise in breach of an AGIEI funding arrangement, are not eligible for support.",Applications are sought for exhibitions commencing on or after 1 January 2024,"$2,500,000.00",Apply online via the Submit Application link on the left ,,AGIEI2023,AGIEI2023,,,,
GO6292,National Indigenous Australians Agency,"19-Jul-2023 11:30 pm (ACT Local Time)
Show close time for other time zones",251003 - Indigenous Education,6-Jun-2023,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Open Competitive,"Through the 2022-23 Budget and 2023 Closing the Gap Implementation Plan, the Australian Government is expanding the number of junior ranger sites delivered to First Nations secondary and/or primary students in locations across Australia. Activities will support students to engage with their schooling through a combination of classroom and on-Country learning. 
This open, competitive grant opportunity will select providers to deliver junior ranger activities at up to 35 new sites in 2023 to end 2025. Initial funding agreements will be for up to three (3) years and may be extended. Preference will be given to local First Nations providers, including Indigenous Ranger Groups or First Nations providers with relationships with Indigenous Ranger Groups, where relevant. Applicants should also demonstrate support from Traditional Owners and partner schools to deliver activities. 
Funded activities should boost school attendance and support participating students to complete their schooling. Projects can include school-based activities (as well as camps, excursions and field trips) involving land, sea, and natural resource management, environmental data collection, heritage related projects and cultural studies. Activities can also support students to gain relevant qualifications, such as Conservation and Ecosystem Management (Certificates I, II and III), Maritime Studies and Senior First Aid.
 ","To be eligible to apply for grant funding under the Junior Rangers grant opportunity you must:
* have an Australian Business Number (ABN) (exemptions may apply in special cases)
* where relevant, be registered for the purposes of GST
* if an individual, be a permanent resident of Australia
*have an account, in your name and which you control, with an Australian financial institution
AND be one of the following entity types:
* an Aboriginal and/or Torres Strait Islander Corporation registered under the Corporations (Aboriginal and Torres Strait Islander) Act 2006 (CATSI Act)
* a company incorporated in Australia under the Corporations Act 2001
* an incorporated association (incorporated under state/territory legislation, commonly have 'Association' or 'Incorporated' or 'Inc' in their legal name) 
* an incorporated cooperative (incorporated under state/territory legislation, commonly have ’Cooperative' in their legal name)
* an organisation established through a specific piece of Commonwealth or state/territory legislation including public benevolent institutions, churches and universities 
* an Australian state or territory government body 
* an Australian local government body
* an incorporated trustee on behalf of a trust 
* a partnership
* a joint (consortia) application with a lead organisation that satisfies the entity type 
* an individual with an ABN
In addition you must:
* Have rectified any issues of previous non-compliance with existing NIAA agreements to the satisfaction of the NIAA, or be in the process of rectifying any issues of non-compliance with existing NIAA agreements to the satisfaction of the NIAA.
* Are financially viable to the Agency’s satisfaction. The application form has questions about financial viability. The Agency may undertake its own enquiries in relation to the applicant’s financial viability. ",The maximum grant period is 3 years.,"$23,100,000.00","You must submit your application form online via : https://forms.business.gov.au/smartforms/servlet/SmartForm.html?formCode=PRD00-NIAAv1&FRID=4-IFOT3M5&RegID=4-IG86DGY 
You will receive an electronic Application ID Number once your application has been lodged with the Agency. You should keep a copy of your application, Application ID Number and any supporting documents. 
If you find an error in your application after submitting it, you should contact the NIAA Assessment Management Office immediately at IASAMO@niaa.gov.au.
If we find an error or information that is missing, we may ask for clarification or additional information from you that will not change the nature of your application. The Agency can refuse to accept any additional information from you that would change your application after it has been received by the Agency.
 ",,Junior Rangers,Junior Rangers,View Addenda,,,
GO6182,National Health and Medical Research Council (NHMRC),"20-Jul-2023 5:00 pm (ACT Local Time)
Show close time for other time zones",231013 - Medical Research,17-Mar-2023,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Targeted or Restricted Competitive,"The NHMRC-NIHR Collaborative Research Grant scheme supports Australian participation in international collaborative research through the UK’s National Institute for Health and Care Research (NIHR) Health Technology Assessment (HTA) Programme.
NHMRC intends to invite Australian researchers listed on successful applications submitted to Stage 1 to apply for NHMRC support of the Australian component of the research under the following topics:
22/146 Maintenance treatment for bipolar disorder
22/147 Pseudomonas aeruginosa eradication treatment in bronchiectasis
22/148 Surgical treatment of proximal ACL ruptures with ACL repair or ACL reconstruction
22/150 Intravesical treatments for recurrent urinary tract infection (rUTI) in women
22/152 Through-knee versus above-knee major limb amputation
22/155 Oral versus intramuscular glucocorticoids in rheumatoid arthritis
22/154 Bisphosphonate therapy for Duchenne muscular dystrophy
22/156 Children and young people's mental health
22/157 Interventions to reduce hospital-based medication administration errors
22/158 Inhibition of the renin-angiotensin system in takotsubo cardiomyopathy
22/166 Rehabilitation and care following stroke
22/167 Imaging pathways for investigation following heart failure diagnosis
22/168 The diagnostic accuracy of colon capsule endoscopy
For further information, see NIHR HTA funding page.","Applications will only be accepted from NHMRC approved Administering Institutions. A list of NHMRC approved Administering Institutions is available at:
https://www.nhmrc.gov.au/funding/manage-your-funding/nhmrcs-administering-institutions
Applications must satisfy all the requirements set out in the NHMRC-NIHR Collaborative Research Grant Scheme 2023 Grant Opportunity Guidelines.",1 to 5 years,"$3,000,000.00",Applications must be submitted electronically using NHMRC’s online grants management system (Sapphire) unless otherwise advised by NHMRC.,"The following information is specific to the NHMRC application process for Australian-based researchers who are listed on the successful applications submitted during Stage 1:
NIHR will advise NHMRC of those invited to submit a Stage 2 application
NHMRC will then invite the relevant Australian researchers via email to submit applications for NHMRC funding through Sapphire.
Australian applicants must provide all documentation and budget requests as instructed in the Grant Guidelines document.",,NHMRC-NIHR 2023,,,,
GO6264,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts","27-Jul-2023 11:30 pm (ACT Local Time)
Show close time for other time zones",261001 - Industry Innovation,15-May-2023,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories",Open Competitive,"The EATP program is intended to encourage adoption of emerging aviation technologies (such as drones, electric vertical take-off and landing aircraft and new aviation propulsion systems) to address community needs, particularly in regional Australia.
The EATP Program enables the Australian Government to partner with industry on the development and deployment of emerging aviation technology, and on research around enablers of such technology. It is intended partnerships will also bring together other parties as required to deliver projects, such as state and territory government agencies, local councils and communities.
Through these partnerships, industry will receive support to trial the deployment of new aviation technology and the Government will gain real-world experience and a valuable opportunity to test the regulatory frameworks needed for the sector as it grows. This will ultimately help ensure Australia is positioned to accommodate new aviation operations with increased technical complexity and at a greater scale.
The EATP Program has an emphasis on Australian and international operators planning local investments and growing the Australian market. Partnerships between Government and industry to prove the viability of new services and operational concepts, conduct enabling research and to support the introduction of new aviation technology, will enable Australian technology developers and manufacturers to fast-track opportunities for their products.  
This is the second of two grant opportunity rounds under the EATP program. ","This grant opportunity is open for applications from individuals, partnerships, and incorporated bodies provided they have an Australian Business Number and are registered for the Goods and Services Tax. This may include a foreign corporation that can demonstrate how funding will benefit the Australian emerging aviation sector and local businesses and communities, or a joint (consortia) application with an eligible lead organisation in partnership with (for example) a foreign corporation, or with a local government or state/territory government agency or body.",To 30/06/2025,"$12,300,000.00","To apply for this grant opportunity please submit your application/s to:
Director,
Agency Engagement and Emerging Technology Programs Section
via email to EATP@infrastructure.gov.au",All applications must be received by 11:30pm AEST on Thursday 27 July 2023.,GO51,,,"From $0.00 to $2,000,000.00",351002 - Regional Development,
GO5899,Department of Health and Aged Care,"31-Jul-2023 5:00 pm (ACT Local Time)
Show close time for other time zones",231013 - Medical Research,21-Feb-2023,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories",Open Competitive,"The 2023 National Critical Research Infrastructure initiative invests in research infrastructure to ensure Australian researchers find innovative solutions to complex health problems in areas of unmet medical need. This grant opportunity has four streams:
Stream 1 – Innovation enablers
Addresses an area of unmet medical need by promoting the development and implementation of new research methodologies or applications including omics’-led approaches and enhanced infrastructure linkage strategies.
Stream 2 – Digitisation of health care
Translates or implements innovative artificial intelligence technologies into health applications that:
benefit multiple health disciplines/areas
involve consumers in the research journey to ensure the research is applicable to the needs of the Australian community; and
increase artificial intelligence workforce capacity and capability, particularly in relation to health, through cross-sector and interdisciplinary collaboration.
Stream 3 – Co-investment partnerships
Utilising co-investment (cash only) with the research sector, state and/or territory governments, and industry, in significant critical research infrastructure (e.g. facilities, personnel and equipment):
to support development of research capacity, capability and/or effectiveness in an area of unmet medical need, or
to enable Australian research using new platforms, systems and services in an area of unmet medical need.
Stream 4 – mRNA technology enablers
Leverage and enhance emerging mRNA technologies, platforms, and/or equipment to accelerate development of mRNA-based vaccines and therapeutics in an area of unmet medical need.
An application may only be submitted to one of the above four Streams only. An organisation may submit more than one application as long as it is unique - an applicant cannot submit the same project twice. Applicants must specify the Stream to which they are applying in their application.","You can apply if you:
have an Australian business number (ABN)
are incorporated in Australia
and in accordance with s24 of the Medical Research Future Fund Act 2015, be one of the following entities:
a medical research institute
a university
a corporate Commonwealth entity
a corporation (including businesses and not for profits).
You can’t apply if you are:
an organisation, or your project partner is an organisation, included on the National Redress Scheme’s list of Institutions that have not joined or signified their intent to join the Scheme
an employer of 100 or more employees that has not complied with the Workplace Gender Equality Act (2012)
an individual
partnership
unincorporated association
trust (however, an incorporated trustee may apply on behalf of a trust)
a non-corporate Commonwealth entity
any organisation not listed in the eligible entity list.
Partner with other organisations
Joint applications are encouraged.
You can partner with one or more other organisations but you must decide who the lead organisation is.
Stream 3 applications must be from a consortia (including the applicant):
of at least one academic organisation and at least one other organisation which may be industry or state/territory government
with combined cash contributions of at least 34% of the total eligible project costs.
The lead organisation must fill out the application form.
If we give your group the grant, the lead organisation:
signs the grant agreement
receives grant payments
is responsible for making sure your group follows all requirements in the grant agreement, including all reporting requirements.
The eligibility rules are in the grant opportunity guidelines.",,"$100,000,000.00","To apply, go to: www.business.gov.au/2023-NCRI","business.gov.au provides information and advice to customers via a range of channels including phone (13 28 46), email and web chat. Contact us for assistance.",,,View Addenda,,,
GO5934,Department of Health and Aged Care,"31-Jul-2023 5:00 pm (ACT Local Time)
Show close time for other time zones",231013 - Medical Research,20-Feb-2023,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Open Competitive,"The 2023 BioMedtech Incubator - Dementia and Cognitive Decline Grant Opportunity is part of the Medical Research Future Fund and the Medical Research Commercialisation Initiative.
This opportunity looks to fund a single organisation to identify, select and support Australian SMEs undertaking early-stage medical research and medical innovation projects on dementia and cognitive decline, with commercial potential.
It intends to improve the health and wellbeing of Australians by increasing the number of innovations, novel drugs, novel uses for existing drugs, innovative medical devices and/or digital health technologies addressing dementia and/or cognitive decline.","You can apply if you:
have an Australian business number (ABN)
are incorporated in Australia.
You must also be one of the following entities:
a medical research institute
a university
a corporate Commonwealth entity 
a corporation (including businesses and not-for-profits).
You can’t apply if you are:
an organisation, or your project partner is an organisation, included on the National Redress Scheme’s list of Institutions that have not joined or signified their intent to join the Scheme
an employer of 100 or more employees that has not complied with the Workplace Gender Equality Act (2012)
an individual
a partnership
an unincorporated association
a trust (however, an incorporated trustee may apply on behalf of a trust)
a non-corporate Commonwealth entity.
Partner with other organisations
Joint applications are encouraged.
You can partner with one or more other organisations that also meet the eligibility criteria, but you must decide who the lead organisation is.
The lead organisation must fill out the application form and enter into the grant agreement with the Commonwealth.
Further information on eligibility is in the grant opportunity guidelines.",,"$50,000,000.00","To apply, go to: https://business.gov.au/2023-BMTI","business.gov.au provides information and advice to customers via a range of channels including phone (13 28 46), email and web chat. Contact us for assistance.",,,View Addenda,"From $50,000,000.00 to $50,000,000.00","381001 - Science, Technology, Engineering and Mathematics (STEM) Research",
GO5959,Department of Employment and Workplace Relations,"31-Jul-2023 11:30 pm (ACT Local Time)
Show close time for other time zones",191008 - Vocational Education,21-Dec-2022,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Closed Non-Competitive,"The Australian Government is establishing Industry Clusters, to provide industry with a stronger, more strategic voice and broader role in ensuring Australia’s VET system continues to deliver on employer and learner needs. 
  The Australian Government committed $292.5 million over four years from 2021-22, and $111.4 million in 2025-26 to support new industry engagement arrangements.
  The Industry Clusters will be groups of aligned industries with a strategic leadership role to identify, forecast and respond to the current and emerging skills needs and workforce challenges of industry. 
  Industry Clusters will be established through a two-stage grant opportunity approach to market. The first stage was an open competitive process seeking proposals to establish and subsequently operate an Industry Cluster. The second stage will involve a closed non-competitive process to enable the newly established clusters to put forward detailed proposals to deliver on their full functions.","Stage 2 of the grant opportunity is a closed non-competitive process.
To be eligible, you must be invited to submit an application. Only successful Stage 1 applicants will be invited to apply for Stage 2. Successful Stage 1 applicants are invited to establish a new entity, the newly established entity is to be the applicant.
As Stage 2 is intended to be a closed non-competitive process, applications will not be scored but will instead be assessed on a 'pass / fail' basis
Applicants invited to apply for Stage 2 will be notified through addenda published periodically on GrantConnect (www.grants.gov.au). These addenda will be updated prior to each invitation being issued.
  We cannot consider your application if you do not satisfy the eligibility criteria.",Stage 2 open: 6 months,"$402,000,000.00","Successful Stage 1 Applicants will be invited to apply for Stage 2 through periodic notifications published on Grant Connect (www.grants.gov.au) as an addendum.
Applicants eligible to apply will be provided with further lodgement instructions and guidance once addenda are published. ","Stage 1 of the Industry Clusters Grant Opportunity opened on 3 December 2021 and closed on 31 March 2022 and was an open competitive process seeking applications from industry to establish and operate an Industry Cluster. The Stage 1 Grant Opportunity can be viewed on the Grant Connect website (www.grants.gov.au) by searching GO5308.
  Questions or inquiries about this grant opportunity must be sent to the Grant Round Manager via industryengagement@dese.gov.au",ESE21/4967,,View Addenda,,,
GO6237,"Department of Infrastructure, Transport, Regional Development, Communications and the Arts","1-Aug-2023 5:00 pm (ACT Local Time)
Show close time for other time zones",141000 - Community Development,8-May-2023,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories",Open Competitive,"The Growing Regions Program – Round 1 will deliver grants up to a maximum of $15,000,000 over 3 years to deliver community infrastructure projects.

It will deliver community and economic benefits by investing in community-focused infrastructure which revitalises regions and enhances amenity and liveability throughout regional Australia.

The objectives of the program are:
constructing or upgrading community infrastructure that fills an identified gap or need for community infrastructure
contributing to achieving a wide range of community socio-economic outcomes.
is strategically aligned with regional priorities.
The intended outcomes of the program are:
delivery of community-focused infrastructure which contributes to local and regional priorities
provision of infrastructure which benefits the community by improving equity and supports diverse social inclusion
to contribute to the achievement of broader Government priorities such as net zero emissions, gender equity, and/or First Nations priorities
growing local economies and enhancing amenity and liveability in the regions.
Growing Regions Program Round 1 will be delivered through a two-stage selection process.

You must first submit an Expression of Interest at Stage 1 and if successful, you will be invited to submit a full application at Stage 2.","You can apply if you meet the eligibility criteria. The eligibility criteria are a set of rules that describe who we can consider for this grant. You can apply if you:
are an eligible entity
have an eligible project
have eligible expenditure.
You can apply if you are:
an incorporated not-for-profit organisation. As a not-for-profit organisation you must demonstrate your not-for-profit status through one of the following:
a Current Australian Charities and Not-for-profits Commission (ACNC) Registration
State or territory incorporated association status
Constitutional documents and/or Articles of Association that demonstrate the not-for-profit character of the organisation
or
a local government agency or body
and
have an Australian Business Number (ABN), or Office of the Registrar of Indigenous Corporations registration number (ORIC) registration
will deliver the project in an eligible location
can commence the project no later than 15 May 2024
own the land/infrastructure being upgraded or built upon, or have the landowner’s permission to use the land/infrastructure.
Find the complete eligibity criteria in the Grant Opportunity Guidelines.",,"$300,000,000.00","Applications for this grant opportunity opens on 5 July 2023.
To apply, go to https://business.gov.au/grp","business.gov.au provides information and advice to customers via a range of channels including phone (13 28 46), email and web chat. Contact us for assistance.",,,View Addenda,"From $500,000.00 to $15,000,000.00",,
GO6033,National Health and Medical Research Council (NHMRC),"2-Aug-2023 5:00 pm (ACT Local Time)
Show close time for other time zones",231013 - Medical Research,15-Feb-2023,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Targeted or Restricted Competitive,"The objective of Streams 1 and 2 of the 2023 Clinician Researchers: Applied Research in Health grant opportunity is to provide grants of financial assistance to support medical research projects:
led by clinician researchers who are specialist general practitioners or specialists in any other specialty (see below)
that validate and implement new approaches for improving the quality of patient care, and 
address health issues in a Priority Population/s.
The objective of Stream 3 of this grant opportunity is to provide a grant of financial assistance to support a medical research project that prospectively evaluates projects funded through Streams 1 and 2 to generate knowledge that improves understanding of the factors that promote the adoption, impact and sustainability of evidence-based practice in health care.
The intended outcome of the research funded by this grant opportunity is to improve the health and wellbeing of Australians by:
Streams 1 and 2 (Targeted Calls for Research): supporting specialist general practitioners and/or specialists in any other specialty to improve the quality of health care, practice and systems by undertaking applied research in health care that:
improves outcomes for their patients
addresses an identified health priority in clinical practice
improves the effectiveness of health services by improving safety, quality and/or efficiency
builds the capacity of clinician-researchers to undertake research that improves the quality-of-care patients receive.
Stream 3 (Targeted Call for Research): generating evidence that will support the effective implementation of evidence-based practice in health care.
This grant opportunity is being administered by NHMRC on behalf of the Australian Government Department of Health and Aged Care.
Further information on the Medical Research Future Fund is available from the Department of Health and Aged Care’s website.","Applications will only be accepted from approved MRFF Eligible Organisations. A list of approved MRFF Eligible Organisations is available from the GrantConnect GO Documents and from the MRFF Eligible Organisations List on the NHMRC website.
Applications must satisfy all the requirements set out in the Medical Research Future Fund (MRFF) - CRI - 2023 Clinician Researchers Applied Research in Health Grant Opportunity Guidelines",The maximum grant duration is 5 years.,"$45,500,000.00","Applicants are advised to read the Grant Guidelines thoroughly and liaise with the MRFF Eligible Organisation that will submit the application to identify any specific requirements that the Organisation might have.
Applications must be submitted electronically using NHMRC’s online granting system (Sapphire).","Minimum Data closes at 5:00pm (ACT Local Time) on Wednesday, 05 July 2023
Questions should be submitted no later than 1:00pm (ACT Local Time) on Wednesday, 26 July 2023",1112,MRFF 2023 Clinician Researchers Grant Opportunity,,"From $0.00 to $1,500,000.00",,Department of Health and Aged Care
GO6034,National Health and Medical Research Council (NHMRC),"2-Aug-2023 5:00 pm (ACT Local Time)
Show close time for other time zones",231013 - Medical Research,8-Feb-2023,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Targeted or Restricted Competitive,"The Medical Research Future Fund (MRFF) Primary Health Care Research Initiative aims to enable or support an increase in Australia’s evidence base in primary health care through research to improve service delivery and patient outcomes and translate this knowledge into action.
The objective of this grant opportunity is to provide grants of financial assistance to support Australian medical research and medical innovation projects that:
• evaluate the effectiveness and feasibility of new or existing best practice models of multidisciplinary care for patients with complex and chronic conditions in primary care and
• address one or more of the priorities set by the Australian Government for the Strengthening Medicare Taskforce.
Two streams of funding are available based on the geographic location of the organisation undertaking the majority of the research:
• Stream 1: The organisation undertaking the majority of the research is based in any area according to the Modified Monash Model Locator (MM1-7)
• Stream 2: The organisation undertaking the majority of the research and Chief Investigator A and 50% or more of all Chief Investigators are primarily based in a rural, regional or remote area according to the Modified Monash Model Locator (MM3-7).
Applications to this grant opportunity must propose research that addresses one of the two Streams of research.
The intended outcome of the research funded under this grant opportunity is to improve health and wellbeing of Australians with complex and chronic conditions through implementation of best practice care in a primary care setting.
This grant opportunity is being administered by NHMRC on behalf of the Australian Government Department of Health and Aged Care.
Further information on the Medical Research Future Fund is available from the Department of Health and Aged Care’s website.","Applications will only be accepted from approved MRFF Eligible Organisations. A list of approved MRFF Eligible Organisations is available from the GrantConnect GO Documents and from the MRFF Eligible Organisations List  on the NHMRC website.
Applications must satisfy all the requirements set out in the Medical Research Future Fund (MRFF) – Primary Health Care Research Initiative – 2023 Primary Health Care Research Grant Opportunity Guidelines.",Within 5 years of execution of the grant schedule. ,"$20,000,000.00","Applicants are advised to read the Grant Guidelines thoroughly and liaise with the MRFF Eligible Organisation that will submit the application to identify any specific requirements that the Organisation might have.
Applications must be submitted electronically using NHMRC’s online granting system (Sapphire).","Minimum Data closes at 5:00 pm (ACT Local Time) on 5 July 2023.
Questions should be submitted no later than 1:00 pm (ACT Local Time) on 26 July 2023.",,,View Addenda,"From $0.00 to $3,000,000.00",,Department of Health and Aged Care
GO6283,Department of Health and Aged Care,"7-Aug-2023 2:00 pm (ACT Local Time)
Show close time for other time zones",231012 - Health Promotion and Prevention Programs,26-Jun-2023,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Open Competitive,"This new grant opportunity is an open competitive grant round.
The aim of the grant opportunity is to enable the implementation of new innovative primary care service delivery models and determine whether these models improve the attractiveness of rural practice and lead to better delivery of health service to communities in rural and remote Australia, Modified Monash (MM) Model 3-7 locations. Further details can be found via the department’s health workforce locator map.
NOTE: Please join us for a webinar on 4 July 2023 at 3:30pm that will provide further information on this grant opportunity. Please register for the webinar prior to commencement by clicking this link: https://health-au.webex.com/weblink/register/r0810fcbf82c3bd0c3827e8dceedd3e82 Please click the registration link to provide your name, organisation, position, and email address. Once registration is completed you will receive an email with the link to join the webinar. Please do not share this “Join webinar” link as it is only valid for one attendee following registration.
To view the grant opportunity documents, please select the red ""Grant Opportunity Documents"" button on the left-hand side.","We cannot consider your application if you do not satisfy all the eligibility criteria.
To be eligible you must: 
have an Australian Business Number (ABN);
be registered for the purposes of GST;
be a permanent resident of Australia; or
have an account with an Australian financial institution; and
be located in a region MM 3-7; 
You must be one of the following entity types: 
a company incorporated in Australia;
a company incorporated by guarantee;
an incorporated association;
a partnership; or
an Aboriginal and/or Torres Strait Islander Corporation registered under the Corporations (Aboriginal and /or Torres Strait Islander) Act 2006.  
You can be one of the following: 
a joint (consortium) application with a lead organisation;  
a registered charity or not-for-profit organisation;
an incorporated trustee on behalf of a trust (where you apply as a trustee on behalf of a trust, please apply using the trustee's name, not the name of the trust).
If you are applying as a Trustee on behalf of a Trust, the Trustee must have an eligible entity type as listed above. 
Applications from consortia are acceptable, providing there is a lead organisation that is solely accountable to the Commonwealth for the delivery of grant activities and is an eligible entity as per the list above. Only the lead organisation can submit the application form and enter into a grant agreement with the Commonwealth. Eligible organisations can form a consortium with ineligible organisations, except for those organisations deemed ineligible because they are included on the National Redress Scheme’s website on the list of ‘Institutions that have not joined or signified their intent to join the Scheme'.",,"$14,200,000.00","Submit the completed application form and all necessary attachments by the closing date and time via the red Submit Application button on the left-hand side.
You should keep a copy of your application and any supporting documents. Registered users will receive an automated email notification acknowledging the receipt of the submission. If you do not receive an automated email notification within 48 hours of submission, please email Grant.ATM@health.gov.au.
For technical assistance when submitting your application through GrantConnect please contact the GrantConnect Helpdesk:
Phone: 1300 484 145
Email: GrantConnect@finance.gov.au  ","Applicant/s should follow the below instructions to upload their application:
Filename(s) do not exceed 100 characters.
Any file type can be submitted to GrantConnect.
Refrain from using special characters. These include, but are not limited to, colon, forward and back slash, question marks, en and em dash.
A maximum of five (5) separate files can be submitted at one time.
Do not include macros or password protect applications or attachments.",P3929,,,"From $400,000.00 to $1,600,000.00",,
GO6303,Department of Veterans' Affairs,"9-Aug-2023 7:00 pm (ACT Local Time)
Show close time for other time zones",361003 - Veterans,14-Jun-2023,"NSW, VIC, SA, WA, QLD, TAS",Targeted or Restricted Competitive,"The Veteran Wellbeing Grants (VWG) One-Off Program will benefit the wellbeing of veterans and families with up to $20 million in targeted funding for projects that improve the infrastructure, reach and capacity of organisations providing important wellbeing services, supports and opportunities to the veteran community.",An organisation must be invited to apply for a grant for a project under this Program.,,,"In-line with the Targeted/ Restricted Competitive nature of this program, to be eligible, an organisation must be invited to apply for a grant for a project under this Program. Invited organisations have been contacted directly by the Department of Veterans’ Affairs. See the grant opportunity guidelines for further information. ",,,,,,,
GO6045,"Department of Climate Change, Energy, the Environment and Water","14-Aug-2023 5:00 pm (ACT Local Time)
Show close time for other time zones",211002 - Climate Change,9-Jun-2023,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS, Administered Territories",Open Competitive,"The Australian Government has announced a total of $17.5 million over 3 years from 2023-24 to 2025-26 to support Australian farmers and land managers to reduce emissions and sequester carbon to contribute to Australia’s climate change commitments.
The program has two aspects, a procurement process to develop a training package on behalf of Department of Climate Change, Energy, the Environment and Water (DCCEEW) and a grant program to deliver the training package.
The purpose of this grant opportunity is to deliver training and advice to empower Australian farmers and land managers, including First Nations peoples, to participate in carbon markets and integrate low emission technologies and practices into their farming operations and land management practices.
Successful applicants will receive training developed by DCCEEW (via a train-the-trainer model), information and tools under the program to support their extension activities.
The objectives of the program are:
support farmers and land managers to make decisions to reduce emissions
build capacity of trusted advisers to deliver independent advice
facilitate access to clear, consistent and culturally appropriate information on carbon farming and low-emissions technologies and practices.
The intended outcomes of the program are:
farmers and land managers make informed decisions to lower emissions
increased knowledge of greenhouse gas emission management amongst farmers and land managers
trusted advisers have the information resources, knowledge and skills to continue to provide advice beyond the life of this grant opportunity.","To be eligible you must have an Australian business number (ABN) and be one of the following entities:
an entity, incorporated in Australia
a state, territory or local government body
an Aboriginal and Torres Strait Islander Corporation registered under the Corporations (Aboriginal and Torres Strait Islander) Act 2006 (Cth) or other state and territory legislation
an incorporated trustee on behalf of a trust.
We can only accept applications where:
you and your project partners provide the 'Financial Interests and Related Carbon Service Provider Entities Declaration form’
you include all the mandatory attachments.
You can’t apply if you are:
an organisation, or your project partner is an organisation, included on the National Redress Scheme’s list of Institutions that have not joined or signified their intent to join the Scheme
an employer of 100 or more employees that has not complied with the Workplace Gender Equality Act (2012)
an individual
a partnership
an unincorporated association
a trust (however, an incorporated trustee may apply on behalf of a trust)
a corporate Commonwealth entity
a non-corporate Commonwealth entity
a carbon service provider
any organisation not included in section 4.1 of the guidelines.
Joint applications
Joint applications are acceptable, provided you have a lead organisation who is the main driver of the project and is eligible to apply.
Only the lead organisation can submit the application form and enter into the grant agreement with the Commonwealth. The application should identify all members of the proposed group and include a letter of support from each of the project partners.
Check the grant opportunity guidelines for more information on eligibility.",The minimum project period is 24 months. You must complete your project by 31 March 2026.,"$17,500,000.00","This opportunity opens for applications on 13 June 2023.
To apply, go to: www.business.gov.au/CFOP","business.gov.au provides information and advice to customers via a range of channels including phone (13 28 46), email and web chat. Contact us for assistance.",,,View Addenda,"From $1,000,000.00 to $17,500,000.00",,
